n_faces,avg_confidence_faces,std_confidence_faces,avg_relativeSize_faces,std_relativeSize_faces,avg_thirdRule_x,std_thirdRule_x,avg_thirdRule_y,std_thirdRule_y,id,num_clts,avg_silhouette,avg_intra_clt_dist,avg_inter_clt_dist,faces_in_noise_clt,num_core_samples,avg_imgs_clt,avg_std_silhouette,avg_std_intra_clt_dist,avg_std_inter_clt_dist,avg_n_core_samples,std_n_core_samples,GTrends_popularity,label
84,0.9992971363521758,0.0022617535293566965,6.1628027026910805,10.674944592920001,0.9285714285714286,0.433136898855018,0.3333333333333333,0.4742358046305383,Ana Bellon,1,0.30945834517478943,10.340435028076172,14.96681022644043,32,51,52.0,0.06231110915541649,1.0405216217041016,0.3123895227909088,51.0,0,100,1
160,0.9995615147054195,0.001488645334228725,9.410620051757794,8.172975139170495,0.98125,0.730915468015042,0.79375,0.515140269106722,Anna Gabriel,2,0.3068467974662781,10.20484447479248,14.768603324890135,30,126,65.0,0.08692815527319908,1.320879340171814,0.623541384935379,63.0,73.53910524340094,242,1
133,0.9992669045476985,0.0020290519769146182,5.593760525236364,5.589897903626107,1.0150375939849625,0.7069456539698754,0.5112781954887218,0.545179166454582,Juande Colmenero,2,0.05306537449359894,14.3793306350708,15.172144889831545,103,23,15.0,0.09019771963357925,1.1383424401283264,0.7013320922851562,11.5,14.849242404917497,100,1
119,0.99934759811193,0.002017799060831855,5.858293781545234,7.46727924536053,1.0672268907563025,0.6207034341527882,0.5042016806722689,0.5020964452534334,Estefania Beltran,2,0.15636718273162842,12.518631935119627,14.787198066711426,55,60,32.0,0.0722138099372387,1.2527856826782227,0.7299126982688904,30.0,31.11269837220809,159,1
132,0.9993615001440048,0.0020822409217354384,9.567420535700562,8.661226496630956,0.9545454545454546,0.5366511420837488,0.6363636363636364,0.5281788858535383,Mariano Rajoy,1,0.3365631699562073,10.147655487060547,15.29643440246582,38,94,94.0,0.05895206704735756,0.9818897247314452,0.3795636296272278,94.0,0,232,1
123,0.9997361636743313,0.0007793306904618923,8.191774351125112,5.764735113365856,0.983739837398374,0.6138262134230004,0.5772357723577236,0.5280357986079055,Pablo Llarena,2,0.33615970611572266,9.939494132995604,15.022783279418945,29,90,47.0,0.06697817333042622,0.9661930501461031,0.43586231768131256,45.0,48.08326112068523,108,1
132,0.9997330362146551,0.0012960434001487939,8.994344610044967,5.757544101771552,0.9924242424242424,0.6239031550559223,0.5909090909090909,0.5087710901837885,Francois Hollande,3,0.3713748455047608,9.613800048828123,15.380475997924805,16,114,38.666666666666664,0.07276393473148346,1.0924251079559326,0.4493784209092458,38.0,53.73081052803875,1150,1
69,0.9993483363718226,0.002187233616959412,11.885361525516666,16.383533603673282,0.9710144927536232,0.6410243294628852,0.5797101449275363,0.5532204406246923,Francisco Javier Barroso,1,-0.009911284781992435,15.506062507629395,15.334251403808596,54,4,15.0,0.04790543019771576,0.7557634711265564,0.6989427804946899,4.0,0,100,0
83,0.9990317606064211,0.0028372678775872135,8.954575878900453,10.330333201064159,1.0120481927710843,0.5736910000189925,0.6144578313253012,0.5808178695515156,Lluis Falgas,1,0.0970885381102562,13.790081977844238,15.286670684814453,66,16,17.0,0.051213338971138,0.9165015220642091,0.36229047179222107,16.0,0,0,1
100,0.9992873013019562,0.0021463860275885236,10.525512151851768,10.48382084231918,1.05,0.6092717958449425,0.62,0.4878317312145633,Esther Esteban,3,0.11097023636102676,13.269023895263672,14.93389892578125,42,44,19.333333333333332,0.08628173048297565,1.1220795313517253,0.8486979703108469,14.666666666666666,14.571661996262929,100,1
127,0.9997112337998518,0.001822735835199708,6.888660063981869,5.863422682745547,1.015748031496063,0.62974235054623,0.5748031496062992,0.4963307435310932,Cesar Luena,2,0.3672858774662018,9.795661926269533,15.52354335784912,22,99,52.5,0.09537038952112198,1.3443458080291748,0.6516207158565521,49.5,57.27564927611035,100,1
107,0.9987848623890743,0.0027633460979592586,14.394189068099475,11.424386323424436,1.0186915887850467,0.49490438205921594,0.7476635514018691,0.4363972991616364,Antonio Fraguas,2,0.28155240416526794,11.296257972717285,15.759456634521484,27,77,40.0,0.07570089399814606,1.0447124242782593,0.5284330695867538,38.5,21.920310216782973,100,1
128,0.999459148850292,0.0020844095092645365,8.649747618852658,9.828633091969916,0.953125,0.5303300858899106,0.515625,0.5321827730554681,Julio Somoano,2,0.2700207829475403,11.175811767578123,15.388923645019533,43,81,42.5,0.07730107754468918,1.2606984674930573,0.44884583353996277,40.5,41.71930009000631,100,1
