@relation summary_features_participants_classification-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
0.643939,0.549869,0.726772,0.75234,0.705604,0.563982,0.504861,0.735036,0.403785,0,0.266123,0.827379,0.858308,0.896907,0.24,0.258929,0.283951,0.409655,0.078106,0.272727,0,0.019708,0
0.265152,0.32874,0.735039,0.983095,0.840763,0.065757,0.506833,0.616726,0.501462,0,0.083661,0.930222,0.602062,0.237113,0.192,0.383929,0.043318,0.273746,0.731685,0.218182,0,0,0
0,0.568898,0.583858,0.367141,0.525217,0.062661,0.493935,0.409207,0.924158,0,0.024476,1,0.629251,0.216495,0.016,0.089286,0.060817,0.364226,1,0.018182,0,0,0
0.537879,0.809055,0.574016,0.481801,0.220934,0.317608,0.33354,0.96531,0.006386,0,0.69507,0.345697,0.666136,0.113402,0.736,0.8125,0.364225,0.430252,0.403385,0.836364,0,0.05538,1
0.962121,0.669291,0.367717,0.128702,0.048037,0.630633,0.74602,0.318051,0.48637,0.4,0.395158,0.632377,0.66279,0.381443,0.88,0.330357,0.548981,0.386449,0.924717,0.327273,0.82446,0.065037,1
0.401515,0.684383,0.426772,0.809069,0.703776,0.272813,0.166284,0.680105,0.419713,0.2,0.199762,0.816593,0.623121,0.57732,0.184,0.102679,0.309213,0.383408,0.207251,0.1,0.134615,0.020891,0
0.477273,0.784777,0.296063,0.726621,0.508034,0.563982,0,0.611068,0.259808,0.6,0.265406,0.659616,0.283084,0.494845,0.344,0.069196,0.722718,0.754881,0.787734,0.090909,0.090881,0.150374,0
0.856061,0.883858,0.069291,0.080515,0.070259,0.563982,0.528573,0.2732,0.553095,0,0.594881,0.455593,0.707011,0.546392,0.72,0.8125,0.45356,0.628576,0.210312,0.818182,0,0.038037,1
0.598485,0.734252,0.596063,0.246901,0.357344,0.379497,0.414123,0.023168,0.439446,0.6,0.195523,0.759952,0.421974,0.783505,0.256,0.042411,0.425735,0.422807,0.547948,0.065909,0.059143,0.019905,0
0.348485,0.679134,0.490157,0.388317,0.420027,0,0.580469,0.550857,0.397721,0.2,0.21918,0.816936,0.679832,0.268041,0.384,0.205357,0.349456,0.305005,0.511959,0.213636,0.375,0.022862,0
